rank,year365,year366,13aqi,13pm2.5,13img,14aqi,14pm2.5,14img,15aqi,15pm2.5,15img,16aqi,16pm2.5,16img,17aqi,17pm2.5,17img,18aqi,18pm2.5,18img
286,10/13,10/12,20000,45,img/2013 (286).jpg,19,13.3,img/2014 (286).jpg,51,30,img/2015 (286).jpg,89,66,img/2016 (286).jpg,71,52,img/2017 (286).jpg,108,119,img/2018 (286).jpg
287,10/14,10/13,20000,39,img/2013 (287).jpg,35,12,img/2014 (287).jpg,174,123,img/2015 (287).jpg,135,103,img/2016 (287).jpg,30,7,img/2017 (287).jpg,156,166,img/2018 (287).jpg
288,10/15,10/14,20000,18,img/2013 (288).jpg,231,180.8,img/2014 (288).jpg,160,122,img/2015 (288).jpg,265,215,img/2016 (288).jpg,46,32,img/2017 (288).jpg,216,79,img/2018 (288).jpg
289,10/16,10/15,20000,72,img/2013 (289).jpg,52,17.3,img/2014 (289).jpg,177,134,img/2015 (289).jpg,264,214,img/2016 (289).jpg,27,8,img/2017 (289).jpg,105,61,img/2018 (289).jpg
290,10/17,10/16,20000,113,img/2013 (290).jpg,127,96.4,img/2014 (290).jpg,367,317,img/2015 (290).jpg,163,124,img/2016 (290).jpg,80,59,img/2017 (290).jpg,83,15,img/2018 (290).jpg
291,10/18,10/17,20000,235,img/2013 (291).jpg,203,152.8,img/2014 (291).jpg,22,15,img/2015 (291).jpg,101,76,img/2016 (291).jpg,104,78,img/2017 (291).jpg,45,18,img/2018 (291).jpg
292,10/19,10/18,20000,30,img/2013 (292).jpg,469,453.7,img/2014 (292).jpg,60,41,img/2015 (292).jpg,140,107,img/2016 (292).jpg,86,64,img/2017 (292).jpg,27,44,img/2018 (292).jpg
293,10/20,10/19,20000,31,img/2013 (293).jpg,353,303.1,img/2014 (293).jpg,123,93,img/2015 (293).jpg,271,231,img/2016 (293).jpg,153,117,img/2017 (293).jpg,61,106,img/2018 (293).jpg
294,10/21,10/20,20000,82,img/2013 (294).jpg,42,29.2,img/2014 (294).jpg,70,51,img/2015 (294).jpg,68,49,img/2016 (294).jpg,150,115,img/2017 (294).jpg,139,180,img/2018 (294).jpg
295,10/22,10/21,20000,174,img/2013 (295).jpg,151,115.4,img/2014 (295).jpg,33,25,img/2015 (295).jpg,76,56,img/2016 (295).jpg,49,34,img/2017 (295).jpg,230,18,img/2018 (295).jpg
296,10/23,10/22,20000,22,img/2013 (296).jpg,154,117.8,img/2014 (296).jpg,56,42,img/2015 (296).jpg,30,21,img/2016 (296).jpg,39,27,img/2017 (296).jpg,53,34,img/2018 (296).jpg
297,10/24,10/23,20000,25,img/2013 (297).jpg,232,181.8,img/2014 (297).jpg,103,77,img/2015 (297).jpg,27,19,img/2016 (297).jpg,68,49,img/2017 (297).jpg,65,112,img/2018 (297).jpg
298,10/25,10/24,20000,43,img/2013 (298).jpg,340,289.9,img/2014 (298).jpg,35,24,img/2015 (298).jpg,92,46,img/2016 (298).jpg,123,93,img/2017 (298).jpg,146,9,img/2018 (298).jpg
299,10/26,10/25,20000,40,img/2013 (299).jpg,8,5.3,img/2014 (299).jpg,40,28,img/2015 (299).jpg,121,92,img/2016 (299).jpg,213,163,img/2017 (299).jpg,56,12,img/2018 (299).jpg
300,10/27,10/26,20000,113,img/2013 (300).jpg,35,13.3,img/2014 (300).jpg,18,3,img/2015 (300).jpg,24,17,img/2016 (300).jpg,306,256,img/2017 (300).jpg,34,1,img/2018 (300).jpg
301,10/28,10/27,20000,282,img/2013 (301).jpg,119,89.9,img/2014 (301).jpg,12,4,img/2015 (301).jpg,51,33,img/2016 (301).jpg,98,73,img/2017 (301).jpg,56,1,img/2018 (301).jpg
302,10/29,10/28,20000,24,img/2013 (302).jpg,161,122.9,img/2014 (302).jpg,14,5,img/2015 (302).jpg,28,12,img/2016 (302).jpg,14,8,img/2017 (302).jpg,15,5,img/2018 (302).jpg
303,10/30,10/29,20000,44,img/2013 (303).jpg,262,211.8,img/2014 (303).jpg,27,19,img/2015 (303).jpg,53,28,img/2016 (303).jpg,25,6,img/2017 (303).jpg,26,23,img/2018 (303).jpg
304,10/31,10/30,20000,118,img/2013 (304).jpg,321,207.8,img/2014 (304).jpg,62,45,img/2015 (304).jpg,144,110,img/2016 (304).jpg,72,36,img/2017 (304).jpg,57,19,img/2018 (304).jpg
305,11/1,10/31,20000,167,img/2013 (305).jpg,52,36.8,img/2014 (305).jpg,165,126,img/2015 (305).jpg,13,3,img/2016 (305).jpg,116,88,img/2017 (305).jpg,37,116,img/2018 (305).jpg
306,11/2,11/1,20000,290,img/2013 (306).jpg,8,5.9,img/2014 (306).jpg,114,85,img/2015 (306).jpg,55,16,img/2016 (306).jpg,134,102,img/2017 (306).jpg,151,144,img/2018 (306).jpg
307,11/3,11/2,20000,12,img/2013 (307).jpg,56,35.5,img/2014 (307).jpg,242,191,img/2015 (307).jpg,170,129,img/2016 (307).jpg,19,6,img/2017 (307).jpg,191,166,img/2018 (307).jpg
308,11/4,11/3,20000,48,img/2013 (308).jpg,134,101.6,img/2014 (308).jpg,211,161,img/2015 (308).jpg,217,167,img/2016 (308).jpg,43,22,img/2017 (308).jpg,216,9,img/2018 (308).jpg
309,11/5,11/4,20000,162,img/2013 (309).jpg,30,21,img/2014 (309).jpg,295,245,img/2015 (309).jpg,276,226,img/2016 (309).jpg,103,77,img/2017 (309).jpg,24,13,img/2018 (309).jpg
310,11/6,11/5,20000,183,img/2013 (310).jpg,14,6,img/2014 (310).jpg,30,21,img/2015 (310).jpg,210,160,img/2016 (310).jpg,191,144,img/2017 (310).jpg,24,14,img/2018 (310).jpg
311,11/7,11/6,20000,27,img/2013 (311).jpg,126,95.6,img/2014 (311).jpg,19,10,img/2015 (311).jpg,65,47,img/2016 (311).jpg,206,156,img/2017 (311).jpg,32,64,img/2018 (311).jpg
312,11/8,11/7,20000,121,img/2013 (312).jpg,113,85.2,img/2014 (312).jpg,52,37,img/2015 (312).jpg,105,79,img/2016 (312).jpg,32,9,img/2017 (312).jpg,90,78,img/2018 (312).jpg
313,11/9,11/8,20000,179,img/2013 (313).jpg,119,90.4,img/2014 (313).jpg,212,162,img/2015 (313).jpg,24,15,img/2016 (313).jpg,72,49,img/2017 (313).jpg,104,6,img/2018 (313).jpg
314,11/10,11/9,20000,9,img/2013 (314).jpg,74,54.4,img/2014 (314).jpg,204,180,img/2015 (314).jpg,220,170,img/2016 (314).jpg,36,5,img/2017 (314).jpg,18,37,img/2018 (314).jpg
315,11/11,11/10,20000,26,img/2013 (315).jpg,15,10.8,img/2014 (315).jpg,210,160,img/2015 (315).jpg,166,126,img/2016 (315).jpg,18,3,img/2017 (315).jpg,78,83,img/2018 (315).jpg
316,11/12,11/11,20000,45,img/2013 (316).jpg,62,3.4,img/2014 (316).jpg,193,160,img/2015 (316).jpg,204,154,img/2016 (316).jpg,67,45,img/2017 (316).jpg,110,241,img/2018 (316).jpg
317,11/13,11/12,20000,163,img/2013 (317).jpg,34,15,img/2014 (317).jpg,229,178,img/2015 (317).jpg,71,48,img/2016 (317).jpg,88,65,img/2017 (317).jpg,291,223,img/2018 (317).jpg
318,11/14,11/13,20000,14,img/2013 (318).jpg,93,69.2,img/2014 (318).jpg,317,267,img/2015 (318).jpg,231,181,img/2016 (318).jpg,17,3,img/2017 (318).jpg,273,67,img/2018 (318).jpg
